"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Aciclovir|Concentration [µmol/l]","Organism|ArterialBlood_UmbilicalCord|Plasma|Aciclovir|Concentration [µmol/l]","Organism|VenousBlood_UmbilicalCord|Plasma|Aciclovir|Concentration [µmol/l]"
0,2025,3.064574,0.8819145,0.9012631
0,2040,2.8694942,0.90009373,0.91921264
0,2055,2.6067708,0.9173803,0.93496436
0,2070,2.3289812,0.9328426,0.9481935
0,2085,2.066113,0.9460576,0.95894
0,2100,1.8319204,0.95695716,0.9674301
0,2115,1.6302464,0.9656808,0.97395915
0,2130,1.4597164,0.9724661,0.97882575
0,2145,1.3167049,0.97757894,0.9823012
0,2160,1.1969879,0.98127496,0.9846181
0,2175,1.096549,0.983782,0.9859706
0,2190,1.0118972,0.9852946,0.98651785
0,2205,0.94013405,0.98597527,0.98638994
0,2220,0.8789097,0.98595816,0.98569316
0,2235,0.826339,0.98535335,0.98451465
0,2250,0.78091407,0.9842515,0.9829262
0,2265,0.7414266,0.9827272,0.9809874
0,2280,0.70690423,0.9808425,0.9787481
0,2295,0.67655987,0.9786487,0.9762498
0,2310,0.64975274,0.9761894,0.973528
0,2325,0.625958,0.9735008,0.97061265
0,2340,0.6047422,0.970614,0.9675294
0,2355,0.58567125,0.96755534,0.9643001
0,2370,0.5683225,0.964347,0.9609425
0,2385,0.5524506,0.9610074,0.9574715
0,2400,0.53788716,0.957552,0.9538998
0,2415,0.5851931,0.95400494,0.95031655
0,2430,1.0029738,0.9508507,0.948349
0,2445,1.7415708,0.9500668,0.9514569
0,2460,2.4626276,0.9539929,0.9611718
0,2475,2.9375136,0.96344185,0.9762389
0,2490,3.1200473,0.97743315,0.99412876
0,2505,3.0695758,0.99403954,1.0124296
0,2520,2.8745542,1.0112836,1.0294533
0,2535,2.6118333,1.0276446,1.0442868
0,2550,2.3340042,1.0421909,1.056606
0,2565,2.0710683,1.0544993,1.0664513
0,2580,1.8367896,1.0645012,1.074049
0,2595,1.6350187,1.0723357,1.079694
0,2610,1.4643865,1.0782403,1.0836852
0,2625,1.321271,1.0824803,1.0862931
0,2640,1.201451,1.0853112,1.0877503
0,2655,1.1009114,1.0869603,1.0882508
0,2670,1.0161622,1.0876223,1.0879532
0,2685,0.9443054,1.0874594,1.0869877
0,2700,0.8829916,1.0866057,1.0854604
0,2715,0.83033574,1.0851711,1.0834583
0,2730,0.7848298,1.0832462,1.081053
0,2745,0.74526536,1.0809056,1.0783042
0,2760,0.7106699,1.078211,1.0752614
0,2775,0.680256,1.075214,1.0719662
0,2790,0.65338284,1.071958,1.068454
0,2805,0.6295252,1.0684791,1.0647547
0,2820,0.6082498,1.0648084,1.0608939
0,2835,0.58912194,1.0609722,1.0568935
0,2850,0.5717186,1.0569927,1.052771
0,2865,0.55579406,1.052888,1.0485413
0,2880,0.5411797,1.0486739,1.0442171
0,2895,0.5884395,1.0443741,1.0398877
0,2910,1.0062205,1.040473,1.0371808
0,2925,1.7449262,1.038947,1.039557
0,2940,2.466183,1.0421345,1.0485464
0,2955,2.9412918,1.0508482,1.0628918
0,2970,3.1240153,1.0641093,1.0800637
0,2985,3.073673,1.0799918,1.0976504
0,3000,2.8787177,1.0965191,1.1139648
0,3015,2.616009,1.1121709,1.1280948
0,3030,2.3381512,1.1260158,1.139717
0,3045,2.075158,1.1376301,1.1488721
0,3060,1.8408036,1.1469452,1.1557866
